"Trip","Time_Min","Time_Max","Lag_Minutes"
"133193A",2019-06-22 19:44:00,2019-06-22 19:44:00,0
"168343A",2019-06-07 11:20:00,2019-06-07 11:20:00,0
"168344A",2019-06-07 14:34:00,2019-06-07 14:36:00,2
"168560A",2019-06-08 12:50:00,2019-06-08 13:20:00,30
"169197A",2019-06-15 11:50:00,2019-06-15 12:20:00,30
"170470A",2019-06-10 08:43:00,2019-06-10 10:00:00,77
"172322A",2019-06-13 08:15:00,2019-06-13 08:15:00,0
"174588A",2019-06-19 17:51:00,2019-06-19 17:51:00,0
"174834A",2019-06-03 09:50:00,2019-06-03 09:50:00,0
"174858A",2019-06-03 11:35:00,2019-06-03 11:36:00,1
"175047A",2019-06-01 10:45:00,2019-06-01 10:47:00,2
"175067A",2019-06-01 08:33:00,2019-06-01 08:36:00,3
"175109A",2019-06-01 00:00:00,2019-06-01 00:30:00,30
"175117A",2019-06-01 00:10:00,2019-06-01 01:30:00,80
"175118A",2019-06-01 00:10:00,2019-06-01 01:30:00,80
"175119A",2019-06-01 00:10:00,2019-06-01 00:10:00,0
"175120A",2019-06-01 00:35:00,2019-06-01 00:52:00,17
"175121A",2019-06-01 00:49:00,2019-06-01 00:49:00,0
"175122A",2019-06-01 01:00:00,2019-06-01 01:30:00,30
"175123A",2019-06-01 01:10:00,2019-06-01 01:11:00,1
"175124A",2019-06-01 01:16:00,2019-06-01 01:19:00,3
"175125A",2019-06-01 01:17:00,2019-06-01 01:26:00,9
"175126A",2019-06-01 01:20:00,2019-06-01 01:25:00,5
"175127A",2019-06-01 02:50:00,2019-06-01 02:50:00,0
"175128A",2019-06-01 04:10:00,2019-06-01 05:30:00,80
"175129A",2019-06-01 07:13:00,2019-06-01 07:14:00,1
"175130A",2019-06-01 07:56:00,2019-06-01 07:56:00,0
"175131A",2019-06-01 08:11:00,2019-06-01 08:11:00,0
"175132A",2019-06-01 08:22:00,2019-06-01 08:23:00,1
"175133A",2019-06-01 08:27:00,2019-06-01 08:29:00,2
"175134A",2019-06-01 08:44:00,2019-06-01 08:47:00,3
"175135A",2019-06-01 09:00:00,2019-06-01 09:10:00,10
"175136A",2019-06-01 10:10:00,2019-06-01 10:10:00,0
"175137A",2019-06-01 09:10:00,2019-06-01 10:30:00,80
"175138A",2019-06-01 10:50:00,2019-06-01 11:00:00,10
"175139A",2019-06-01 09:35:00,2019-06-01 09:40:00,5
"175140A",2019-06-01 09:55:00,2019-06-01 09:58:00,3
"175141A",2019-06-01 09:56:00,2019-06-01 09:57:00,1
"175142A",2019-06-01 10:30:00,2019-06-01 11:00:00,30
"175143A",2019-06-01 10:10:00,2019-06-01 11:30:00,80
"175144A",2019-06-01 14:10:00,2019-06-01 14:14:00,4
"175145A",2019-06-01 10:15:00,2019-06-01 10:16:00,1
"175146A",2019-06-01 10:21:00,2019-06-01 10:26:00,5
"175147A",2019-06-01 10:36:00,2019-06-01 10:36:00,0
"175148A",2019-06-01 10:36:00,2019-06-01 10:36:00,0
"175149A",2019-06-01 10:46:00,2019-06-01 10:47:00,1
"175150A",2019-06-01 11:00:00,2019-06-01 11:10:00,10
"175151A",2019-06-01 11:40:00,2019-06-01 12:10:00,30
"175152A",2019-06-01 11:12:00,2019-06-01 11:14:00,2
"175153A",2019-06-01 11:20:00,2019-06-01 11:21:00,1
"175154A",2019-06-01 19:15:00,2019-06-01 19:22:00,7
"175155A",2019-06-01 11:20:00,2019-06-01 11:20:00,0
"175156A",2019-06-01 11:21:00,2019-06-01 11:23:00,2
"175157A",2019-06-01 11:24:00,2019-06-01 11:32:00,8
"175158A",2019-06-01 11:27:00,2019-06-01 11:33:00,6
"175159A",2019-06-01 11:32:00,2019-06-01 11:34:00,2
