DateTime,Trip,Action
6/22/2019 19:44,133193A,EXTERNAL_OFFER
6/22/2019 19:44,133193A,BOOKED
6/7/2019 11:20,168343A,EXTERNAL_OFFER
6/7/2019 11:20,168343A,BOOKED
6/7/2019 14:34,168344A,EXTERNAL_OFFER
6/7/2019 14:34,168344A,EXTERNAL_OFFER
6/7/2019 14:35,168344A,EXTERNAL_OFFER
6/7/2019 14:36,168344A,BOOKED
6/8/2019 12:50,168560A,EXTERNAL_OFFER
6/8/2019 13:00,168560A,EXTERNAL_OFFER
6/8/2019 13:10,168560A,EXTERNAL_OFFER
6/8/2019 13:20,168560A,EXTERNAL_OFFER
6/8/2019 13:20,168560A,BOOKED
6/15/2019 11:50,169197A,EXTERNAL_OFFER
6/15/2019 11:51,169197A,EXTERNAL_OFFER
6/15/2019 11:53,169197A,EXTERNAL_OFFER
6/15/2019 11:55,169197A,EXTERNAL_OFFER
6/15/2019 11:56,169197A,EXTERNAL_OFFER
6/15/2019 11:57,169197A,EXTERNAL_OFFER
6/15/2019 11:58,169197A,EXTERNAL_OFFER
6/15/2019 11:59,169197A,EXTERNAL_OFFER
6/15/2019 12:00,169197A,EXTERNAL_OFFER
6/15/2019 12:10,169197A,EXTERNAL_OFFER
6/15/2019 12:20,169197A,BOOKED
6/10/2019 8:43,170470A,EXTERNAL_OFFER
6/10/2019 8:44,170470A,BOOKED
6/10/2019 9:30,170470A,EXTERNAL_OFFER
6/10/2019 9:40,170470A,EXTERNAL_OFFER
6/10/2019 9:40,170470A,EXTERNAL_OFFER
6/10/2019 9:50,170470A,EXTERNAL_OFFER
6/10/2019 10:00,170470A,BOOKED
6/13/2019 8:15,172322A,EXTERNAL_OFFER
6/13/2019 8:15,172322A,BOOKED
6/19/2019 17:51,174588A,EXTERNAL_OFFER
6/19/2019 17:51,174588A,BOOKED
6/3/2019 9:50,174834A,EXTERNAL_OFFER
6/3/2019 9:50,174834A,BOOKED
